Potential_temperature_C,Practical_salinity,Potential_density_anomaly_kgm3,Pressure_decibar,Serial_date_number_base_date_1_January_0000,Longitude,Latitude,Bottom_Depth_m
2.15689753,34.89478229,27.87768858,1766.1,731845,-36.50833333,63.555,1784
2.043632508,34.88329737,27.87770619,1765.8,731846,-36.50833333,63.555,1784
2.115065643,34.88283364,27.87154447,1765.5,731847,-36.50833333,63.555,1784
1.965677192,34.88833715,27.88798834,1764.9,731848,-36.50833333,63.555,1784
2.14182702,34.89391876,27.878232,1764.7,731849,-36.50833333,63.555,1784
1.953846914,34.89478626,27.89409547,1764.6,731850,-36.50833333,63.555,1784
1.388802254,34.89180422,27.93460306,1764.3,731851,-36.50833333,63.555,1784
1.491133072,34.89040503,27.92601382,1764.7,731852,-36.50833333,63.555,1784
2.068178608,34.90356938,27.89195546,1765.2,731853,-36.50833333,63.555,1784
1.361079271,34.89331749,27.93781824,1765.7,731854,-36.50833333,63.555,1784
2.272624503,34.88160103,27.85756075,1766.2,731855,-36.50833333,63.555,1784
2.445831302,34.89965007,27.8573476,1766.7,731856,-36.50833333,63.555,1784
2.118878487,34.89648999,27.88216695,1766.6,731857,-36.50833333,63.555,1784
1.867729105,34.88556772,27.89351017,1766.4,731858,-36.50833333,63.555,1784
1.749117561,34.88414047,27.90157554,1766.1,731859,-36.50833333,63.555,1784
1.968193254,34.88542531,27.88545588,1765.6,731860,-36.50833333,63.555,1784
1.348816917,34.88772078,27.93420647,1765.1,731861,-36.50833333,63.555,1784
1.58335951,34.88032435,27.91108425,1764.8,731862,-36.50833333,63.555,1784
2.125679817,34.88459809,27.87209077,1764.7,731863,-36.50833333,63.555,1784
2.448646677,34.8999661,27.85735815,1764.9,731864,-36.50833333,63.555,1784
2.137009692,34.8887739,27.87450773,1764.7,731865,-36.50833333,63.555,1784
1.68374186,34.88055995,27.90370359,1764.9,731866,-36.50833333,63.555,1784
2.036141043,34.86835388,27.86634265,1765.1,731867,-36.50833333,63.555,1784
1.529766803,34.87221981,27.90857148,1765.7,731868,-36.50833333,63.555,1784
1.249815586,34.8781416,27.93355842,1766.8,731869,-36.50833333,63.555,1784
0.981740718,34.88297862,27.95587677,1766.4,731870,-36.50833333,63.555,1784
1.553063688,34.88104511,27.91392245,1766.3,731871,-36.50833333,63.555,1784
2.411876307,34.8775406,27.84256814,1766.6,731872,-36.50833333,63.555,1784
2.689378163,34.89949627,27.83598748,1766.7,731873,-36.50833333,63.555,1784
2.288999548,34.90254054,27.8729457,1766.6,731874,-36.50833333,63.555,1784
2.486704146,34.90175524,27.85551778,1766.2,731875,-36.50833333,63.555,1784
1.459517953,34.89203851,27.92964601,1765.4,731876,-36.50833333,63.555,1784
1.517038721,34.88469605,27.91952243,1765.3,731877,-36.50833333,63.555,1784
2.145186433,34.88648595,27.87200707,1764.9,731878,-36.50833333,63.555,1784
1.380119477,34.88099342,27.92655301,1764.8,731879,-36.50833333,63.555,1784
1.696792258,34.88124704,27.90326132,1765.7,731880,-36.50833333,63.555,1784
1.348965172,34.88411252,27.93129897,1764.6,731881,-36.50833333,63.555,1784
2.082330133,34.88517379,27.8760795,1765.3,731882,-36.50833333,63.555,1784
1.756610204,34.88230234,27.89952568,1766.2,731883,-36.50833333,63.555,1784
2.18100651,34.89118039,27.87282387,1766.9,731884,-36.50833333,63.555,1784
2.291299417,34.88940587,27.86224434,1766.7,731885,-36.50833333,63.555,1784
2.347896134,34.89030858,27.85820749,1766.9,731886,-36.50833333,63.555,1784
1.818988798,34.88470484,27.89662481,1766.7,731887,-36.50833333,63.555,1784
1.949190383,34.88866803,27.88956539,1766.3,731888,-36.50833333,63.555,1784
1.461170771,34.88706128,27.92553124,1765.9,731889,-36.50833333,63.555,1784
